IND_ID,Strain_ID
IND696,HpGP-KOR-036
IND697,HpGP-CAN-007
IND698,HpGP-SPA-319
IND699,HpGP-TWN-009
IND700,GAM118Bi
IND701,HpGP-KGZ-004
IND702,HpGP-COG-009
IND703,HpGP-KGZ-010
IND704,HP99255
IND705,HpGP-SPA-401
IND706,HpGP-COL-206
IND707,HpGP-KOR-029
IND708,HpGP-COL-305
IND709,HpGP-JAP-026
IND710,HpGP-SPA-705
IND711,HpGP-FRA-010
IND712,HpGP-CAN-015
IND713,HpGP-GRE-020
IND714,HpGP-ITA-012
IND715,HpGP-MMR-011
IND716,HpGP-SPA-805
IND717,HpGP-COG-003
IND718,HpGP-SPA-020
IND719,HpGP-USA-432
IND720,HpGP-SWE-004
IND721,HpGP-BGD-001
IND722,HpGP-POR-018
IND723,HpGP-CAN-018
IND724,HpGP-SPA-315
IND725,HpGP-SPA-807
IND726,HpGP-JOR-004
IND727,HpGP-SPA-101
IND728,F30
IND729,HpGP-GMB-007
IND730,HpGP-SWE-026
IND731,HpGP-CHI-022
IND732,HpGP-HON-011
IND733,HpGP-VNM-002
IND734,HpGP-CHI-207
IND735,HpGP-MMR-006
IND736,HpGP-PER-019
IND737,HpGP-SWT-005
IND738,HpGP-NGA-017
IND739,33375
IND740,Khanty04
IND741,ES-11
IND742,HpGP-KOR-025
IND743,HpGP-CHN-007
IND744,HpGP-KOR-044
IND745,HpGP-HON-010
IND746,HpGP-ZAF-010
IND747,HpGP-ITA-002
IND748,MM2004-20
IND749,HP98490
IND750,HpGP-HON-024
IND751,HpGP-SPA-309
IND752,HpGP-USA-407
IND753,SA166A
IND754,Shi417
IND755,mong44
IND756,Nentsy37
IND757,GAMchjs106B
IND758,HpGP-SPA-014
IND759,HpGP-GER-021
IND760,HpGP-POL-004
IND761,HpGP-JAP-010
IND762,HpGP-LIT-026
IND763,Khanty26
IND764,HpGP-KOR-032
IND765,HPJ148
IND766,HpGP-SWT-013
IND767,TUVAB15
IND768,HpGP-LIT-001
IND769,HpGP-COL-120
IND770,HpGP-KOR-041
IND771,HpGP-MMR-005
IND772,HpGP-POL-105
IND773,22402
IND774,HpGP-CRI-007
IND775,HpGP-COL-002
IND776,HpGP-TUR-002
IND777,HpGP-SWE-002
IND778,HpGP-TWN-004
IND779,yak97
IND780,BURYAT9
IND781,HpGP-CHI-027
IND782,HpGP-KOR-111
IND783,HpGP-HON-028
IND784,HpGP-DOM-011
IND785,Shi169
IND786,HpGP-ISL-003
IND787,HpGP-GRE-012
IND788,CAN-136
IND789,HpGP-CHI-127
IND790,HpGP-COL-201
IND791,HpGP-SWE-001
IND792,SA29A
IND793,HpGP-TWN-008
IND794,HpGP-PER-140
IND795,HpGP-CAN-020
IND796,HpGP-MEX-010
IND797,HpGP-CHI-116
IND798,HpGP-ITA-024
IND799,HpGP-KOR-045
IND800,HpGP-BRA-013
IND801,HpGP-USA-004
IND802,GAM103Bi
IND803,HpGP-KGZ-002
